order_id,customer_id,sku,order_date,status,quantity,unit_price,subtotal,shipping,total
500001,1653,SKU-1009,2024-07-01,delivered,4,226.78,907.12,0.00,907.12
500002,1371,SKU-1026,2024-07-08,delivered,4,121.26,485.04,0.00,485.04
500003,1290,SKU-1024,2024-07-16,returned,3,423.38,1270.14,0.00,1270.14
500004,1230,SKU-1055,2024-07-23,shipped,3,66.95,200.85,0.00,200.85
500005,1479,SKU-1011,2024-07-30,delivered,2,298.51,597.02,0.00,597.02
500006,1227,SKU-1027,2024-08-07,delivered,6,128.01,768.06,0.00,768.06
500007,1327,SKU-1048,2024-08-14,shipped,3,122.57,367.71,0.00,367.71
500008,1309,SKU-1014,2024-08-22,cancelled,3,332.56,997.68,0.00,997.68
500009,1667,SKU-1016,2024-08-29,delivered,1,39.68,39.68,9.45,49.13
500010,1684,SKU-1011,2024-09-05,delivered,2,298.51,597.02,0.00,597.02
500011,1971,SKU-1029,2024-09-13,cancelled,2,299.61,599.22,0.00,599.22
500012,1281,SKU-1047,2024-09-20,delivered,6,182.45,1094.70,0.00,1094.70
500013,1325,SKU-1041,2024-09-27,delivered,1,252.36,252.36,0.00,252.36
500014,1414,SKU-1017,2024-10-05,cancelled,3,137.96,413.88,0.00,413.88
500015,1605,SKU-1004,2024-10-12,shipped,2,349.87,699.74,0.00,699.74
500016,1391,SKU-1007,2024-10-19,cancelled,1,158.54,158.54,0.00,158.54
500017,1630,SKU-1040,2024-10-27,cancelled,2,398.72,797.44,0.00,797.44
500018,1397,SKU-1057,2024-11-03,delivered,3,6.37,19.11,6.45,25.56
500019,1945,SKU-1017,2024-11-11,delivered,6,137.96,827.76,0.00,827.76
500020,1272,SKU-1044,2024-11-18,processing,3,66.92,200.76,0.00,200.76
500021,1163,SKU-1032,2024-11-25,cancelled,4,317.39,1269.56,0.00,1269.56
500022,1543,SKU-1025,2024-12-03,delivered,6,166.28,997.68,0.00,997.68
500023,1195,SKU-1016,2024-12-10,processing,5,39.68,198.40,0.00,198.40
500024,1571,SKU-1012,2024-12-17,processing,1,130.81,130.81,0.00,130.81
500025,1618,SKU-1007,2024-12-25,cancelled,1,158.54,158.54,0.00,158.54
500026,1463,SKU-1032,2025-01-01,processing,1,317.39,317.39,0.00,317.39
500027,1366,SKU-1053,2025-01-08,delivered,5,89.46,447.30,0.00,447.30
500028,1925,SKU-1016,2025-01-16,cancelled,1,39.68,39.68,7.95,47.63
500029,1449,SKU-1040,2025-01-23,processing,4,398.72,1594.88,0.00,1594.88
500030,1196,SKU-1003,2025-01-31,returned,2,365.32,730.64,0.00,730.64
500031,1565,SKU-1042,2025-02-07,delivered,5,151.52,757.60,0.00,757.60
500032,1396,SKU-1034,2025-02-14,delivered,1,12.90,12.90,10.95,23.85
500033,1944,SKU-1059,2025-02-22,returned,4,392.52,1570.08,0.00,1570.08
500034,1412,SKU-1017,2025-03-01,returned,6,137.96,827.76,0.00,827.76
500035,1059,SKU-1015,2025-03-08,delivered,3,388.12,1164.36,0.00,1164.36
500036,1438,SKU-1011,2025-03-16,delivered,1,298.51,298.51,0.00,298.51
500037,1563,SKU-1013,2025-03-23,cancelled,1,182.69,182.69,0.00,182.69
500038,1385,SKU-1017,2025-03-30,delivered,5,137.96,689.80,0.00,689.80
500039,1884,SKU-1052,2025-04-07,cancelled,6,413.99,2483.94,0.00,2483.94
500040,1610,SKU-1003,2025-04-14,delivered,6,365.32,2191.92,0.00,2191.92
500041,1273,SKU-1020,2025-04-22,delivered,1,395.70,395.70,0.00,395.70
500042,1684,SKU-1019,2025-04-29,delivered,2,438.16,876.32,0.00,876.32
500043,1853,SKU-1005,2025-05-06,returned,2,254.52,509.04,0.00,509.04
500044,1868,SKU-1002,2025-05-14,returned,5,187.97,939.85,0.00,939.85
500045,1698,SKU-1034,2025-05-21,delivered,4,12.90,51.60,6.45,58.05
500046,1114,SKU-1046,2025-05-28,shipped,2,333.47,666.94,0.00,666.94
500047,1411,SKU-1055,2025-06-05,shipped,2,66.95,133.90,0.00,133.90
500048,1176,SKU-1058,2025-06-12,delivered,5,189.25,946.25,0.00,946.25
500049,1694,SKU-1045,2025-06-19,delivered,3,330.74,992.22,0.00,992.22
500050,1753,SKU-1060,2025-06-27,shipped,4,82.11,328.44,0.00,328.44
500051,1319,SKU-1032,2025-07-04,returned,1,317.39,317.39,0.00,317.39
500052,1709,SKU-1059,2025-07-12,processing,6,392.52,2355.12,0.00,2355.12
500053,1043,SKU-1036,2025-07-19,cancelled,4,35.74,142.96,0.00,142.96
500054,1057,SKU-1051,2025-07-26,delivered,1,361.52,361.52,0.00,361.52
500055,1762,SKU-1058,2025-08-03,delivered,2,189.25,378.50,0.00,378.50
500056,1394,SKU-1036,2025-08-10,delivered,4,35.74,142.96,0.00,142.96
500057,1278,SKU-1030,2025-08-17,returned,2,29.30,58.60,12.45,71.05
500058,1624,SKU-1038,2025-08-25,delivered,4,280.29,1121.16,0.00,1121.16
500059,1600,SKU-1011,2025-09-01,delivered,1,298.51,298.51,0.00,298.51
500060,1347,SKU-1030,2025-09-08,cancelled,5,29.30,146.50,0.00,146.50
500061,1556,SKU-1051,2025-09-16,cancelled,5,361.52,1807.60,0.00,1807.60
500062,1360,SKU-1026,2025-09-23,returned,4,121.26,485.04,0.00,485.04
500063,1162,SKU-1047,2025-10-01,returned,4,182.45,729.80,0.00,729.80
500064,1588,SKU-1037,2025-10-08,delivered,4,6.00,24.00,6.45,30.45
500065,1479,SKU-1058,2025-10-15,shipped,6,189.25,1135.50,0.00,1135.50
500066,1479,SKU-1060,2025-10-23,cancelled,1,82.11,82.11,0.00,82.11
500067,1561,SKU-1024,2025-10-30,delivered,6,423.38,2540.28,0.00,2540.28
500068,1018,SKU-1053,2025-11-06,shipped,3,89.46,268.38,0.00,268.38
500069,1533,SKU-1022,2025-11-14,processing,1,211.00,211.00,0.00,211.00
500070,1673,SKU-1009,2025-11-21,delivered,3,226.78,680.34,0.00,680.34
500071,1938,SKU-1020,2025-11-28,delivered,6,395.70,2374.20,0.00,2374.20
500072,1559,SKU-1055,2025-12-06,processing,2,66.95,133.90,0.00,133.90
500073,1006,SKU-1008,2025-12-13,delivered,5,441.21,2206.05,0.00,2206.05
500074,1127,SKU-1052,2025-12-21,delivered,6,413.99,2483.94,0.00,2483.94
500075,1039,SKU-1023,2025-12-28,delivered,2,145.45,290.90,0.00,290.90
500076,1058,SKU-1018,2026-01-04,delivered,3,355.96,1067.88,0.00,1067.88
500077,1519,SKU-1031,2026-01-12,delivered,6,263.18,1579.08,0.00,1579.08
500078,1214,SKU-1010,2026-01-19,processing,2,320.94,641.88,0.00,641.88
500079,1222,SKU-1029,2026-01-26,delivered,6,299.61,1797.66,0.00,1797.66
500080,1744,SKU-1022,2026-02-03,processing,1,211.00,211.00,0.00,211.00
500081,1113,SKU-1012,2026-02-10,delivered,1,130.81,130.81,0.00,130.81
500082,1358,SKU-1049,2026-02-17,processing,3,135.58,406.74,0.00,406.74
500083,1034,SKU-1015,2026-02-25,delivered,6,388.12,2328.72,0.00,2328.72
500084,1361,SKU-1040,2026-03-04,processing,3,398.72,1196.16,0.00,1196.16
500085,1018,SKU-1031,2026-03-12,cancelled,5,263.18,1315.90,0.00,1315.90
500086,1667,SKU-1048,2026-03-19,shipped,5,122.57,612.85,0.00,612.85
500087,1261,SKU-1060,2026-03-26,cancelled,3,82.11,246.33,0.00,246.33
500088,1557,SKU-1051,2026-04-03,delivered,3,361.52,1084.56,0.00,1084.56
500089,1024,SKU-1053,2026-04-10,cancelled,6,89.46,536.76,0.00,536.76
500090,1117,SKU-1015,2026-04-17,delivered,1,388.12,388.12,0.00,388.12
500091,1205,SKU-1050,2026-04-25,delivered,1,352.20,352.20,0.00,352.20
500092,1912,SKU-1034,2026-05-02,cancelled,5,12.90,64.50,4.95,69.45
500093,1139,SKU-1053,2026-05-09,delivered,2,89.46,178.92,0.00,178.92
500094,1654,SKU-1053,2026-05-17,delivered,4,89.46,357.84,0.00,357.84
500095,1009,SKU-1026,2026-05-24,delivered,1,121.26,121.26,0.00,121.26
500096,1618,SKU-1003,2026-06-01,delivered,4,365.32,1461.28,0.00,1461.28
500097,1650,SKU-1058,2026-06-08,delivered,5,189.25,946.25,0.00,946.25
500098,1089,SKU-1030,2026-06-15,delivered,1,29.30,29.30,6.45,35.75
500099,1863,SKU-1047,2026-06-23,delivered,2,182.45,364.90,0.00,364.90
500100,1231,SKU-1029,2026-06-30,returned,2,299.61,599.22,0.00,599.22
